ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC
"5";"418798";"418798";"Amazona violacea";"(Gmelin, 1789)";"Perroquet de Guadeloupe";"";"ES";"Psittacidae";"";"";"EX";"";"";"2012";"EX";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"5";"432583";"432583";"Ara guadeloupensis";"Clark, 1905";"Ara de Guadeloupe";"";"ES";"Psittacidae";"";"";"EX";"";"";"2012";"";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"5";"828576";"459617";"Aratinga labati";"(Rothschild, 1905)";"Perrique de Guadeloupe";"";"ES";"Psittacidae";"";"";"EX";"";"";"2012";"";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"15";"441672";"441672";"Athene cunicularia";"(Molina, 1782)";"Chevêche des terriers";"";"ES";"Strigidae";"";"";"RE";"";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"15";"629648";"629648";"Epidendrum secundum  ";"Jacq., 1760";"";"";"ES";"Orchidaceae";"";"";"RE";"";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"15";"199358";"199358";"Numenius borealis";"(Forster, 1772)";"Courlis esquimau";"";"ES";"Scolopacidae";"";"";"RE";"";"";"2012";"CR";"";"";"Liste rouge des oiseaux non nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_non_nicheurs_2012";"Oiseaux";
"15";"2660";"2660";"Pandion haliaetus";"(Linnaeus, 1758)";"Balbuzard pêcheur";"";"ES";"Pandionidae";"";"";"RE";"";"";"2012";"LC";"LC";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"15";"625972";"625972";"Pandion haliaetus ridgwayi";"Maynard, 1887";"";"";"SSES";"Pandionidae";"";"";"RE";"";"";"2012";"";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"15";"2694";"2694";"Phoenicopterus ruber";"Linnaeus, 1758";"Flamant rose";"";"ES";"Phoenicopteridae";"";"";"RE";"";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"15";"442472";"442472";"Troglodytes aedon";"Vieillot, 1809";"Troglodyte familier";"";"ES";"Troglodytidae";"";"";"RE";"";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"20";"716107";"716107";"Adiantum petiolatum";"Desv., 1811";"";"";"ES";"Pteridaceae";"";"";"CR";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629056";"629056";"Alternanthera crucis ";"(Moq.) Bold., 1909";"";"";"ES";"Amaranthaceae";"";"";"CR";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"713403";"713403";"Anathallis mazei ";"(Urb.) Luer, 2009";"";"";"ES";"Orchidaceae";"Guadeloupe";"";"CR";"A2ac B2ab(i,ii,iii,iv,v) C2a(i) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716114";"716114";"Asplenium dentatum ";"L., 1753";"";"";"ES";"Aspleniaceae";"";"";"CR";"B2ab(i,ii,iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629140";"629140";"Barbosella prorepens  ";"(Rchb.f.) Schltr., 1918";"";"";"ES";"Orchidaceae";"";"";"CR";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716118";"716118";"Blechnum rufum (Spreng.) ";"(Spreng.) C.Chr., 1913";"";"";"ES";"Blechnaceae";"";"";"CR";"B2ab(ii,iii,v) C2a(ii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"713165";"713165";"Campylocentrum jamaicense ";"(Rchb.f. ex Wullschl.) Benth. ex Fawc., 1910";"";"";"ES";"Orchidaceae";"";"";"CR";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629297";"629297";"Centropogon berteroanus ";"(Spreng.) DC., 1839";"Liane rouge";"";"ES";"Campanulaceae";"";"";"CR";"B2ab(iii) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716122";"716123";"Ctenitis macrotheca";"(Fée) Ching, 1940";"";"";"ES";"Dryopteridaceae";"";"";"CR";"B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716121";"716121";"Cyathea pungens";"(Willd.) Domin, 1929";"";"";"ES";"Cyatheaceae";"";"";"CR";"B2ab(iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716126";"716126";"Cyclopeltis semicordata";"(Sw.) J.Sm., 1846";"";"";"ES";"Lomariopsidaceae";"";"";"CR";"B2ab(iii) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"630930";"630930";"Cyrtochilum meirax ";"(Rchb.f.) Dalström, 2001";"";"";"ES";"Orchidaceae";"";"";"CR";"B2ab(i,ii,iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629548";"629548";"Dichaea pendula ";"(Aubl.) Cogn., 1903";"Mille-pattes";"";"ES";"Orchidaceae";"";"";"CR";"A2ac B2ab(ii,iii,iv,v) C2a(i) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716132";"716132";"Doryopteris pedata ";"(L.) Fée, 1852";"";"";"ES";"Pteridaceae";"";"";"CR";"B2ab(iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629591";"629591";"Drypetes serrata";"(Maycock) Krug & Urb., 1892";"";"";"ES";"Putranjivaceae";"";"";"CR";"B2ab(ii,iii,v) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629603";"629603";"Eleocharis elegans ";"(Kunth) Roem. & Schult., 1817";"";"";"ES";"Cyperaceae";"";"";"CR";"B2ab(iii)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629626";"629626";"Epidendrum antillanum ";"Ackerman & Hágsater, 1992";"";"";"ES";"Orchidaceae";"";"";"CR";"B2ab(iii,v) C2a(i)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
