CD_NOM;CD_PROTECTION;NOM_CITE;SYN_CITE;NOM_FRANCAIS_CITE;PRECISIONS;CD_NOM_CITE
741486;agri1;Clidemia hirta;;tabac boeuf;;532863
532863;agri1;Clidemia hirta;;tabac boeuf;;532863
445578;agri1;Ipomoea indica;;Liseron des haies;;103684
103684;agri1;Ipomoea indica;;Liseron des haies;;103684
706472;agri1;Ligustrum robustum;;troènes;;532908
656485;agri1;Ligustrum robustum;;troènes;;532908
656475;agri1;Litsea glutinosa;;avocat marron;;656475
670788;agri1;Litsea glutinosa;;avocat marron;;656475
447106;agri1;Momordica charantia;;margoze sauvage;;447106
445882;agri1;Passiflora suberosa;;passiflore à fleur bleue;;445882
656487;agri1;Rubus alceifolius;;raisin marron;;656487
161873;agri1;Solanum mauritianum;;bringellier marron;;161873
159958;agri1;Ulex europaeus;;ajonc d'Europe;;128114
142022;agri1;Ulex europaeus;;ajonc d'Europe;;128114
128114;agri1;Ulex europaeus;;ajonc d'Europe;;128114
142020;agri1;Ulex europaeus;;ajonc d'Europe;;128114
130605;agri1;Zantedeschia aethiopica;;arum;;130605
79700;agri2;Acacia mearnsii;;acacia;;79700
741486;agri2;Clidemia hirta;;tabac boeuf;;532863
532863;agri2;Clidemia hirta;;tabac boeuf;;532863
103684;agri2;Ipomoea indica;;Liseron des haies;;103684
445578;agri2;Ipomoea indica;;Liseron des haies;;103684
104929;agri2;Lantana camara;;galabert, corbeille d'or;;104929
453767;agri2;Lantana camara;;galabert, corbeille d'or;;104929
656485;agri2;Ligustrum robustum;;troènes;;532908
706472;agri2;Ligustrum robustum;;troènes;;532908
670788;agri2;Litsea glutinosa;;avocat marron;;656475
656475;agri2;Litsea glutinosa;;avocat marron;;656475
447106;agri2;Momordica charantia;;margoze sauvage;;447106
445882;agri2;Passiflora suberosa;;passiflore à fleur bleue;;445882
707173;agri2;Passiflora tripartita var. molissima;;passiflore banane;;707173
710427;agri2;Psidium cattleianum;;goyavier;;447404
707236;agri2;Psidium cattleianum;;goyavier;;447404
447404;agri2;Psidium cattleianum;;goyavier;;447404
656487;agri2;Rubus alceifolius;;raisin marron;;656487
446947;agri2;Schefflera actinophylla;;arbre ombrelle, pieuvre;;446947
121505;agri2;Schinus terebenthifolius;;baie rose, faux poivrier;;446759
161873;agri2;Solanum mauritianum;;bringellier marron;;161873
448228;agri2;Spathodea campanulata;;tulipier du gabon;;448228
447572;agri2;Strobilanthes hamiltonianus;;califon;;447572
447411;agri2;Syzygium jambos;;jamrose;;447411
125822;agri2;Tecoma stans;;bois pissenlit;;125822
142022;agri2;Ulex europaeus;;ajonc d'Europe;;128114
142020;agri2;Ulex europaeus;;ajonc d'Europe;;128114
128114;agri2;Ulex europaeus;;ajonc d'Europe;;128114
159958;agri2;Ulex europaeus;;ajonc d'Europe;;128114
130605;agri2;Zantedeschia aethiopica;;arum;;130605
442300;Bubul1;Pycnonotus jocosus;;Bulbul Orphée;;442300
418750;Bubul1;Pycnonotus jocosus;;Bulbul Orphée;;442300
442300;Bulbul2;Pycnonotus jocosus;;Bulbul Orphée;;442300
418750;Bulbul2;Pycnonotus jocosus;;Bulbul Orphée;;442300
442300;Bulbul3;Pycnonotus jocosus;;Bulbul Orphée;;442300
418750;Bulbul3;Pycnonotus jocosus;;Bulbul Orphée;;442300
442300;Bulbul4;Pycnonotus jocosus;;Bulbul Oprhée;;442300
418750;Bulbul4;Pycnonotus jocosus;;Bulbul Oprhée;;442300
442300;Bulbul5;Pycnonotus jocosus;;Bulbul Oprhée;;442300
418750;Bulbul5;Pycnonotus jocosus;;Bulbul Oprhée;;442300
442300;Bulbul6;Pycnonotus jocosus;;Bulbul Orphée;;442300
418750;Bulbul6;Pycnonotus jocosus;;Bulbul Orphée;;442300
442300;Bulbul9;Pycnonotus jocosus;;Bulbul Orphée;;442300
418750;Bulbul9;Pycnonotus jocosus;;Bulbul Orphée;;442300
2891;CCA;Accipiter gentilis;;Autour des palombes;;2891
782301;CCA;Accipiter gentilis;;Autour des palombes;;2891
2894;CCA;Accipiter gentilis;;Autour des palombes;;2891
2895;CCA;Accipiter nisus;;Epervier d'Europe;;2895
66775;CCA;Acipenser sturio;;Esturgeon commun;;66775
3533;CCA;Aegolius funereus;;Chouette de Tengmalm;;3533
2869;CCA;Aegypius monachus;;Vautour moine;;2869
836222;CCA;Anas querquedula;;Sarcelle d'été;;1975
2634;CCA;Aquila adalberti;aussi appelé Aquila heliaca adalberti;Aigle à épaules blanches;;2634
2645;CCA;Aquila chrysaetos;;Aigle royal;;2645
836346;CCA;Aquila clanga;;Aigle criard;;2641
2643;CCA;Aquila heliaca;;Aigle impérial;;2643
836345;CCA;Aquila pomarina;;Aigle pomarin;;2636
3525;CCA;Asio flammeus;;Hibou des marais;;3525
3522;CCA;Asio otus;;Hibou moyen-duc;;3522
3511;CCA;Athene noctua;;Chouette chevêche;;3511
1995;CCA;Aythya nyroca;;Fuligule nyroca;;1995
2753;CCA;Branta ruficollis;;Bernache à cou roux;;2753
3493;CCA;Bubo bubo;;Grand-Duc d'Europe;;3493
2489;CCA;Bubulcus ibis;;Héron garde-boeufs;;2489
418709;CCA;Bubulcus ibis;;Héron garde-boeufs;;2489
779863;CCA;Buteo buteo;;Buse variable;;2623
2623;CCA;Buteo buteo;;Buse variable;;2623
2630;CCA;Buteo lagopus;;Buse pattue;;2630
2627;CCA;Buteo rufinus;;Buse féroce;;2627
779895;CCA;Buteo rufinus;;Buse féroce;;2627
60577;CCA;Canis lupus;;Loup;(toutes les populations sauf celles de l'Espagne au nord du Douro et de la Grèce au nord du 39e parallèle) - Introduction suspendue (régl. 252/2005 du 14 février 2005);60577
653924;CCA;Casmerodius albus;aussi appelé Egretta alba et Ardea alba;;;2502
2504;CCA;Casmerodius albus;aussi appelé Egretta alba et Ardea alba;;;2502
782527;CCA;Casmerodius albus;aussi appelé Egretta alba et Ardea alba;;;2502
60939;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
186230;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
196237;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60949;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
186231;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
196805;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60911;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
197943;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60918;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60921;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
197947;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60924;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
198751;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60927;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
186232;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
199143;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60970;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
186225;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
189715;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60908;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60856;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60858;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60863;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60861;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
186226;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
186224;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
186227;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
191591;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60878;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
253475;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60851;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60883;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
192814;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60887;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60889;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
192927;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60894;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
193502;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60954;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
535504;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
193743;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60944;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
79307;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
351415;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
193803;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60897;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
193804;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60900;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60902;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
194532;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60867;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
194653;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60958;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60960;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60962;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
60967;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
524037;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
524036;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
195516;CCA;CETACEA spp.;;Cétacés (dauphins, marsouins, baleines);;186224
