CD_PROTECTION;ARTICLE;INTITULE;ARRETE;URL_INPN;CD_DOC;URL;DATE_ARRETE;TYPE
agri1;Annexe 2;Bonnes conditions agricoles et environnementales à La Réunion;Arrêté préfectoral n° 1140 du 25 juillet 2012 relatif aux bonnes conditions agricoles et environnementales à La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28741;28741;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP_BCAE2012_cle621c46.pdf;2012;Lutte contre certaines espèces
agri2;Annexe 3;Bonnes conditions agricoles et environnementales à La Réunion;Arrêté préfectoral n° 1140 du 25 juillet 2012 relatif aux bonnes conditions agricoles et environnementales à La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28741;28741;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP_BCAE2012_cle621c46.pdf;2012;Lutte contre certaines espèces
Bubul1;Article 1°;Mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;Arrêté préfectoral n° 2011-516/SG/DRCTCI du 7 avril 2011 prescrivant les mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28621;28621;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP2011-516_Destruction_Bulbul_cle03ba4b.pdf;2011;Interdiction d'introduction
Bulbul2;Article 2;Mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;Arrêté préfectoral n° 2011-516/SG/DRCTCI du 7 avril 2011 prescrivant les mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28621;28621;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP2011-516_Destruction_Bulbul_cle03ba4b.pdf;2011;Interdiction d'introduction
Bulbul3;Article 3;Mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;Arrêté préfectoral n° 2011-516/SG/DRCTCI du 7 avril 2011 prescrivant les mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28621;28621;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP2011-516_Destruction_Bulbul_cle03ba4b.pdf;2011;Interdiction d'introduction
Bulbul4;Article 4;Mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;Arrêté préfectoral n° 2011-516/SG/DRCTCI du 7 avril 2011 prescrivant les mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28621;28621;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP2011-516_Destruction_Bulbul_cle03ba4b.pdf;2011;Interdiction d'introduction
Bulbul5;Article 5;Mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;Arrêté préfectoral n° 2011-516/SG/DRCTCI du 7 avril 2011 prescrivant les mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28621;28621;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP2011-516_Destruction_Bulbul_cle03ba4b.pdf;2011;Interdiction d'introduction
Bulbul6;Article 6;Mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;Arrêté préfectoral n° 2011-516/SG/DRCTCI du 7 avril 2011 prescrivant les mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28621;28621;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP2011-516_Destruction_Bulbul_cle03ba4b.pdf;2011;Interdiction d'introduction
Bulbul9;Article 9;Mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;Arrêté préfectoral n° 2011-516/SG/DRCTCI du 7 avril 2011 prescrivant les mesures phytosanitaires à prendre en vue de lutter contre le Bulbul Orphée dans le département de La Réunion;https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/28621;28621;http://www.reunion.developpement-durable.gouv.fr/IMG/pdf/AP2011-516_Destruction_Bulbul_cle03ba4b.pdf;2011;Interdiction d'introduction
CCA;Annexe A;Application de la Convention CITES (Convention de Washington) au sein de l'Union européenne;Règlement (CE) N° 338/97 du Conseil du 9 décembre 1996 relatif à la protection des espèces de faune et de flore sauvages par le contrôle de leur commerce (modifié par le Règlement UE n° 101/2012 du 6 février 2012 et le Règlement UE n° 750/2013 du 29 juillet 2013);https://inpn.mnhn.fr/reglementation/protection/listeEspecesParArrete/754;754;http://eur-lex.europa.eu/legal-content/FR/TXT/?qid=1413449131738&uri=CELEX:01997R0338-20130810;1997;Réglementation
